[2025-06-09T04:55:23.883+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_data_pipeline.run_kafka_producer manual__2025-06-09T04:55:22.320012+00:00 [queued]>
[2025-06-09T04:55:23.892+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_data_pipeline.run_kafka_producer manual__2025-06-09T04:55:22.320012+00:00 [queued]>
[2025-06-09T04:55:23.893+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-06-09T04:55:23.913+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): run_kafka_producer> on 2025-06-09 04:55:22.320012+00:00
[2025-06-09T04:55:23.928+0000] {standard_task_runner.py:60} INFO - Started process 122 to run task
[2025-06-09T04:55:23.933+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'kafka_data_pipeline', 'run_kafka_producer', 'manual__2025-06-09T04:55:22.320012+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/kafka_data_pipeline.py', '--cfg-path', '/tmp/tmp3n0nt5bp']
[2025-06-09T04:55:23.936+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask run_kafka_producer
[2025-06-09T04:55:24.124+0000] {task_command.py:423} INFO - Running <TaskInstance: kafka_data_pipeline.run_kafka_producer manual__2025-06-09T04:55:22.320012+00:00 [running]> on host 01df0afd9dcb
[2025-06-09T04:55:24.232+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kafka_data_pipeline' AIRFLOW_CTX_TASK_ID='run_kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-09T04:55:22.320012+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-09T04:55:22.320012+00:00'
[2025-06-09T04:55:24.234+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-09T04:55:24.235+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/ecom_etl/kafka_scripts/producer.py']
[2025-06-09T04:55:24.259+0000] {subprocess.py:86} INFO - Output:
[2025-06-09T04:56:02.574+0000] {subprocess.py:93} INFO - 🚀 Initializing Kafka producer with bootstrap servers: kafka:29092
[2025-06-09T04:56:02.582+0000] {subprocess.py:93} INFO - ✅ Successfully connected to Kafka
[2025-06-09T04:56:02.582+0000] {subprocess.py:93} INFO - Starting e-commerce event simulation...
[2025-06-09T04:56:02.582+0000] {subprocess.py:93} INFO - Press Ctrl+C to stop
[2025-06-09T04:56:02.582+0000] {subprocess.py:93} INFO - 
[2025-06-09T04:56:02.582+0000] {subprocess.py:93} INFO - 🚀 Starting e-commerce event simulation for 10 minutes...
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - 📊 Generating ~3 events per second
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 0
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 1
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 2
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - ✅ Sent order_completed to ecommerce.orders.completed - Partition: 0, Offset: 0
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 3
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 4
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 6
[2025-06-09T04:56:02.583+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 0
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 1
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 9
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 10
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 4
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 11
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 12
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 13
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 6
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 7
[2025-06-09T04:56:02.584+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 16
[2025-06-09T04:56:02.585+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 17
[2025-06-09T04:56:02.585+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 18
[2025-06-09T04:56:02.585+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 20
[2025-06-09T04:56:02.585+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 22
[2025-06-09T04:56:02.585+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 24
