[2025-06-09T05:17:53.161+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_data_pipeline.run_kafka_producer scheduled__2025-06-09T05:12:00+00:00 [queued]>
[2025-06-09T05:17:53.167+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_data_pipeline.run_kafka_producer scheduled__2025-06-09T05:12:00+00:00 [queued]>
[2025-06-09T05:17:53.167+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 3
[2025-06-09T05:17:53.174+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): run_kafka_producer> on 2025-06-09 05:12:00+00:00
[2025-06-09T05:17:53.182+0000] {standard_task_runner.py:60} INFO - Started process 561 to run task
[2025-06-09T05:17:53.186+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'kafka_data_pipeline', 'run_kafka_producer', 'scheduled__2025-06-09T05:12:00+00:00', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/kafka_data_pipeline.py', '--cfg-path', '/tmp/tmpsqd5sc_b']
[2025-06-09T05:17:53.187+0000] {standard_task_runner.py:88} INFO - Job 4: Subtask run_kafka_producer
[2025-06-09T05:17:53.233+0000] {task_command.py:423} INFO - Running <TaskInstance: kafka_data_pipeline.run_kafka_producer scheduled__2025-06-09T05:12:00+00:00 [running]> on host 3f5e8dfaf78e
[2025-06-09T05:17:53.287+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kafka_data_pipeline' AIRFLOW_CTX_TASK_ID='run_kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-09T05:12:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-06-09T05:12:00+00:00'
[2025-06-09T05:17:53.289+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-09T05:17:53.291+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'timeout 60 python /opt/***/ecom_etl/kafka_scripts/producer.py']
[2025-06-09T05:17:53.308+0000] {subprocess.py:86} INFO - Output:
[2025-06-09T05:18:30.384+0000] {subprocess.py:93} INFO - 🚀 Initializing Kafka producer with bootstrap servers: kafka:29092
[2025-06-09T05:18:30.401+0000] {subprocess.py:93} INFO - ✅ Successfully connected to Kafka
[2025-06-09T05:18:30.402+0000] {subprocess.py:93} INFO - Starting e-commerce event simulation...
[2025-06-09T05:18:30.402+0000] {subprocess.py:93} INFO - Press Ctrl+C to stop
[2025-06-09T05:18:30.402+0000] {subprocess.py:93} INFO - 
[2025-06-09T05:18:30.403+0000] {subprocess.py:93} INFO - 🚀 Starting e-commerce event simulation for 10 minutes...
[2025-06-09T05:18:30.403+0000] {subprocess.py:93} INFO - 📊 Generating ~3 events per second
[2025-06-09T05:18:30.403+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 31
[2025-06-09T05:18:30.404+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 97
[2025-06-09T05:18:30.404+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 32
[2025-06-09T05:18:30.404+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 98
[2025-06-09T05:18:30.404+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 99
[2025-06-09T05:18:30.404+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 33
[2025-06-09T05:18:30.405+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 34
[2025-06-09T05:18:30.405+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 29
[2025-06-09T05:18:30.405+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 100
[2025-06-09T05:18:30.405+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 30
[2025-06-09T05:18:30.405+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 31
[2025-06-09T05:18:30.405+0000] {subprocess.py:93} INFO - ✅ Sent add_to_cart to ecommerce.cart.add - Partition: 0, Offset: 35
[2025-06-09T05:18:30.406+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 32
[2025-06-09T05:18:30.406+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 101
[2025-06-09T05:18:30.406+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 102
[2025-06-09T05:18:30.406+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 33
[2025-06-09T05:18:30.406+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 103
[2025-06-09T05:18:30.406+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 104
[2025-06-09T05:18:30.407+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 34
[2025-06-09T05:18:30.407+0000] {subprocess.py:93} INFO - ✅ Sent add_to_wishlist to ecommerce.wishlist.add - Partition: 0, Offset: 35
[2025-06-09T05:18:30.407+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 105
[2025-06-09T05:18:30.407+0000] {subprocess.py:93} INFO - ✅ Sent product_view to ecommerce.product.views - Partition: 0, Offset: 106
