[2025-06-09T10:33:16.707+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_ecommerce_pipeline.run_kafka_producer scheduled__2025-06-09T10:32:00+00:00 [queued]>
[2025-06-09T10:33:16.716+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_ecommerce_pipeline.run_kafka_producer scheduled__2025-06-09T10:32:00+00:00 [queued]>
[2025-06-09T10:33:16.716+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2025-06-09T10:33:16.724+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): run_kafka_producer> on 2025-06-09 10:32:00+00:00
[2025-06-09T10:33:16.727+0000] {standard_task_runner.py:60} INFO - Started process 437 to run task
[2025-06-09T10:33:16.730+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'kafka_ecommerce_pipeline', 'run_kafka_producer', 'scheduled__2025-06-09T10:32:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/kafka_data_pipeline.py', '--cfg-path', '/tmp/tmppw0onpxy']
[2025-06-09T10:33:16.732+0000] {standard_task_runner.py:88} INFO - Job 21: Subtask run_kafka_producer
[2025-06-09T10:33:16.764+0000] {task_command.py:423} INFO - Running <TaskInstance: kafka_ecommerce_pipeline.run_kafka_producer scheduled__2025-06-09T10:32:00+00:00 [running]> on host 426c4f7e0cdd
[2025-06-09T10:33:16.819+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-engineering-team' AIRFLOW_CTX_DAG_ID='kafka_ecommerce_pipeline' AIRFLOW_CTX_TASK_ID='run_kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-09T10:32:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-06-09T10:32:00+00:00'
[2025-06-09T10:33:16.820+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-09T10:33:16.821+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /app/kafka_scripts/producer.py']
[2025-06-09T10:33:16.830+0000] {subprocess.py:86} INFO - Output:
[2025-06-09T10:33:34.166+0000] {subprocess.py:93} INFO - 🚀 Starting E-Commerce Event Producer
[2025-06-09T10:33:34.173+0000] {subprocess.py:93} INFO - 🔗 Kafka Bootstrap Servers: kafka:29092
[2025-06-09T10:33:34.173+0000] {subprocess.py:93} INFO - 🚀 Initializing Kafka producer with bootstrap servers: kafka:29092
[2025-06-09T10:33:34.173+0000] {subprocess.py:93} INFO - ⚠️ Error creating topics: [Error 36] TopicAlreadyExistsError: Request 'CreateTopicsRequest_v3(create_topic_requests=[(topic='ecommerce.product.views', num_partitions=3, replication_factor=1, replica_assignment=[], configs=[]), (topic='ecommerce.cart.add', num_partitions=3, replication_factor=1, replica_assignment=[], configs=[]), (topic='ecommerce.wishlist.add', num_partitions=3, replication_factor=1, replica_assignment=[], configs=[]), (topic='ecommerce.orders.completed', num_partitions=3, replication_factor=1, replica_assignment=[], configs=[])], timeout=30000, validate_only=False)' failed with response 'CreateTopicsResponse_v3(throttle_time_ms=0, topic_errors=[(topic='ecommerce.product.views', error_code=36, error_message="Topic 'ecommerce.product.views' already exists."), (topic='ecommerce.cart.add', error_code=36, error_message="Topic 'ecommerce.cart.add' already exists."), (topic='ecommerce.wishlist.add', error_code=36, error_message="Topic 'ecommerce.wishlist.add' already exists."), (topic='ecommerce.orders.completed', error_code=36, error_message="Topic 'ecommerce.orders.completed' already exists.")])'.
[2025-06-09T10:33:34.174+0000] {subprocess.py:93} INFO - ✅ Successfully connected to Kafka
[2025-06-09T10:33:34.174+0000] {subprocess.py:93} INFO - 🚀 Starting traffic simulation for 60 seconds at 5 events/second
[2025-06-09T10:33:34.174+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.cart.add: add_to_cart (partition: 0, offset: 65)
[2025-06-09T10:33:34.175+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 2, offset: 216)
[2025-06-09T10:33:34.175+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 1, offset: 186)
[2025-06-09T10:33:34.175+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 221)
[2025-06-09T10:33:34.176+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 222)
[2025-06-09T10:33:34.176+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.orders.completed: order_completed (partition: 2, offset: 5)
[2025-06-09T10:33:34.176+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 2, offset: 217)
[2025-06-09T10:33:34.176+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 1, offset: 187)
[2025-06-09T10:33:34.177+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 2, offset: 218)
[2025-06-09T10:33:34.177+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 2, offset: 219)
[2025-06-09T10:33:34.177+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 223)
[2025-06-09T10:33:34.177+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 2, offset: 220)
[2025-06-09T10:33:34.178+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 224)
[2025-06-09T10:33:34.178+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.cart.add: add_to_cart (partition: 2, offset: 81)
[2025-06-09T10:33:34.178+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 225)
[2025-06-09T10:33:34.178+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 226)
[2025-06-09T10:33:34.178+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.cart.add: add_to_cart (partition: 2, offset: 82)
[2025-06-09T10:33:34.179+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.cart.add: add_to_cart (partition: 0, offset: 66)
[2025-06-09T10:33:34.179+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.orders.completed: order_completed (partition: 2, offset: 6)
[2025-06-09T10:33:34.179+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 227)
[2025-06-09T10:33:34.179+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 1, offset: 188)
[2025-06-09T10:33:34.179+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.cart.add: add_to_cart (partition: 2, offset: 83)
[2025-06-09T10:33:34.180+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 2, offset: 221)
[2025-06-09T10:33:34.180+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 2, offset: 222)
[2025-06-09T10:33:34.180+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 2, offset: 223)
[2025-06-09T10:33:34.180+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.cart.add: add_to_cart (partition: 2, offset: 84)
[2025-06-09T10:33:34.181+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 228)
[2025-06-09T10:33:34.181+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 1, offset: 189)
[2025-06-09T10:33:34.181+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 0, offset: 229)
[2025-06-09T10:33:34.181+0000] {subprocess.py:93} INFO - ✅ Sent to ecommerce.product.views: product_view (partition: 1, offset: 190)
